ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019362,pyridine nucleotide metabolic process,41/1718,86/5857,0.47674418604651164,1.6253147250724207,3.763455149220487,2.2790905610626304e-4,0.012927944734303542,0.011978668357236622,YAL038W/YBR117C/YBR196C/YCL047C/YCR012W/YDL021W/YDL085W/YDR050C/YGL037C/YGL253W/YGR010W/YGR043C/YGR240C/YGR254W/YGR256W/YHR074W/YHR174W/YHR183W/YHR202W/YIL155C/YJL052W/YJR009C/YJR078W/YKL060C/YKL152C/YLR174W/YLR231C/YLR446W/YMR145C/YMR303C/YNL129W/YNL200C/YNL241C/YOL056W/YOL086C/YOL136C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W,41
GO:0046434,organophosphate catabolic process,32/1718,63/5857,0.5079365079365079,1.7316554871851728,3.761422030555393,2.603803383360751e-4,0.014277521885428118,0.013229148417917077,YAL038W/YBR196C/YBR242W/YBR252W/YCR012W/YCR068W/YDL021W/YDR050C/YER005W/YGL101W/YGL253W/YGR240C/YGR254W/YHR046C/YHR174W/YHR202W/YJL052W/YJR009C/YKL060C/YKL152C/YKR031C/YLR380W/YLR446W/YNR001C/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W/YPL103C/YPL110C/YPL206C,32
GO:0015711,organic anion transport,53/1718,119/5857,0.44537815126050423,1.5183817415208225,3.680504098572879,2.700017097342078e-4,0.014327510081057154,0.013275466067746449,YAL053W/YBL030C/YBR043C/YBR069C/YBR220C/YCL025C/YCR028C/YCR075C/YCR098C/YDL210W/YEL062W/YEL063C/YEL064C/YGL077C/YGL080W/YGL139W/YGR191W/YGR206W/YGR243W/YGR257C/YGR260W/YHL002W/YHL036W/YHR002W/YHR162W/YIL006W/YIL088C/YIL121W/YIL166C/YJL078C/YJL079C/YJL193W/YJR095W/YJR152W/YKL120W/YKL217W/YKR013W/YKR039W/YKR105C/YMR034C/YMR246W/YNL065W/YNL101W/YOL147C/YOL158C/YOR049C/YOR306C/YOR348C/YPL002C/YPL265W/YPR011C/YPR058W/YPR128C,53
GO:0006006,glucose metabolic process,31/1718,61/5857,0.5081967213114754,1.7325426057749194,3.705083659602341,3.1993636758164133e-4,0.01644672889599375,0.015239074350599232,YBR196C/YBR218C/YCR012W/YDL085W/YDR050C/YDR511W/YEL012W/YGL062W/YGL253W/YGR240C/YHR043C/YJL052W/YJL089W/YJL155C/YJR009C/YKL060C/YKL152C/YKR097W/YLR044C/YLR134W/YLR377C/YLR446W/YML028W/YMR105C/YMR145C/YMR280C/YNL241C/YNR071C/YOL086C/YOL126C/YOR047C,31
GO:0006066,alcohol metabolic process,57/1718,131/5857,0.4351145038167939,1.4833909481111536,3.604731238889855,3.397015691283092e-4,0.01690907807582794,0.015667474038585094,YAL061W/YCR048W/YCR105W/YDL085W/YDL168W/YDR050C/YDR315C/YEL070W/YER073W/YFL053W/YGL001C/YGL012W/YGR060W/YGR087C/YGR144W/YGR175C/YHL032C/YHR007C/YHR046C/YHR072W/YHR079C/YIL053W/YIL155C/YJR159W/YLR044C/YLR056W/YLR100W/YLR134W/YLR174W/YLR410W/YLR450W/YML070W/YML075C/YML087C/YML125C/YMR015C/YMR101C/YMR145C/YMR202W/YMR208W/YMR296C/YMR303C/YNL037C/YNL280C/YNR043W/YNR073C/YOL032W/YOL055C/YOL086C/YOR136W/YOR171C/YOR374W/YPL028W/YPL061W/YPL103C/YPL201C/YPR121W,57
GO:0009166,nucleotide catabolic process,22/1718,39/5857,0.5641025641025641,1.9231366227873794,3.7262829240491926,3.6189197082983843e-4,0.01690907807582794,0.015667474038585094,YAL038W/YBR196C/YBR252W/YCR012W/YDL021W/YDR050C/YER005W/YGL253W/YGR240C/YGR254W/YHR174W/YHR202W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,22
GO:0009154,purine ribonucleotide catabolic process,19/1718,32/5857,0.59375,2.0242105646100117,3.7426625892211605,3.7551341835930657e-4,0.01690907807582794,0.015667474038585094,YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,19
GO:0046031,ADP metabolic process,19/1718,32/5857,0.59375,2.0242105646100117,3.7426625892211605,3.7551341835930657e-4,0.01690907807582794,0.015667474038585094,YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,19
GO:0046496,nicotinamide nucleotide metabolic process,40/1718,85/5857,0.47058823529411764,1.6043278778333219,3.615624587376609,3.8032576827090196e-4,0.01690907807582794,0.015667474038585094,YAL038W/YBR117C/YBR196C/YCL047C/YCR012W/YDL021W/YDL085W/YDR050C/YGL253W/YGR010W/YGR043C/YGR240C/YGR254W/YGR256W/YHR074W/YHR174W/YHR183W/YHR202W/YIL155C/YJL052W/YJR009C/YJR078W/YKL060C/YKL152C/YLR174W/YLR231C/YLR446W/YMR145C/YMR303C/YNL129W/YNL200C/YNL241C/YOL056W/YOL086C/YOL136C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W,40
GO:0072521,purine-containing compound metabolic process,76/1718,186/5857,0.40860215053763443,1.3930051197316211,3.509047580874805,4.2393121352279466e-4,0.018351759111710452,0.01700422152855974,YAL038W/YBL099W/YBR117C/YBR127C/YBR196C/YBR252W/YCL047C/YCR012W/YDL021W/YDL085W/YDL238C/YDR050C/YDR148C/YDR322C-A/YER043C/YGL253W/YGR010W/YGR043C/YGR204W/YGR240C/YGR254W/YGR256W/YHL011C/YHR074W/YHR174W/YHR183W/YHR202W/YIL009W/YIL155C/YIR027C/YIR028W/YIR031C/YJL052W/YJL116C/YJR009C/YJR019C/YJR078W/YJR105W/YJR121W/YKL016C/YKL060C/YKL152C/YKL181W/YLR153C/YLR174W/YLR231C/YLR295C/YLR446W/YLR450W/YML075C/YML081C-A/YMR145C/YMR207C/YMR208W/YMR246W/YMR303C/YNL129W/YNL141W/YNL241C/YNR001C/YNR016C/YNR043W/YOL056W/YOL061W/YOL077W-A/YOL086C/YOL136C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W/YPL078C/YPL271W/YPL273W/YPR020W,76
GO:0019318,hexose metabolic process,36/1718,75/5857,0.48,1.636414435389988,3.5735183004147966,4.5875493981221185e-4,0.019350048102335603,0.01792920790413179,YBR196C/YBR218C/YCR012W/YDL085W/YDR050C/YDR511W/YEL012W/YGL062W/YGL156W/YGL253W/YGR240C/YHR043C/YIL107C/YJL052W/YJL089W/YJL155C/YJR009C/YJR159W/YKL060C/YKL152C/YKR097W/YLR044C/YLR134W/YLR377C/YLR446W/YML028W/YML051W/YMR105C/YMR145C/YMR280C/YNL241C/YNR071C/YOL086C/YOL126C/YOL136C/YOR047C,36
GO:0044283,small molecule biosynthetic process,130/1718,347/5857,0.3746397694524496,1.2772206808399285,3.42988030433501,4.760255989526216e-4,0.019576552756926564,0.018139080717984108,YAL012W/YAL061W/YBR112C/YBR196C/YBR218C/YBR256C/YCL009C/YCL018W/YCR012W/YDL015C/YDL168W/YDR050C/YDR315C/YDR354W/YDR511W/YEL012W/YEL029C/YEL046C/YEL071W/YER052C/YER055C/YER061C/YER073W/YFL018C/YFR055W/YGL001C/YGL009C/YGL012W/YGL055W/YGL062W/YGL148W/YGL184C/YGR060W/YGR087C/YGR124W/YGR144W/YGR175C/YGR204W/YHR007C/YHR033W/YHR037W/YHR046C/YHR063C/YHR067W/YHR072W/YIL020C/YIL051C/YIL053W/YIL074C/YIR017C/YIR033W/YJL052W/YJL060W/YJL088W/YJL089W/YJL097W/YJL196C/YJR009C/YJR024C/YJR105W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL152C/YKL182W/YKR069W/YKR097W/YLL027W/YLL058W/YLL062C/YLR044C/YLR056W/YLR100W/YLR134W/YLR231C/YLR303W/YLR377C/YLR380W/YLR410W/YLR438W/YLR450W/YML028W/YML075C/YML087C/YML125C/YMR009W/YMR015C/YMR101C/YMR169C/YMR170C/YMR202W/YMR207C/YMR208W/YMR271C/YMR272C/YMR280C/YMR296C/YMR303C/YMR322C/YNL037C/YNL103W/YNL256W/YNL277W/YNL280C/YNR016C/YNR043W/YOL055C/YOL058W/YOL086C/YOL126C/YOL140W/YOR047C/YOR136W/YOR171C/YOR374W/YOR391C/YPL028W/YPL061W/YPL095C/YPL201C/YPL231W/YPL252C/YPL273W/YPL280W/YPR035W/YPR118W/YPR121W/YPR167C,130
GO:1901292,nucleoside phosphate catabolic process,25/1718,47/5857,0.5319148936170213,1.8134025214871325,3.606872392549351,4.950821361788941e-4,0.019863661317421483,0.018405107398897013,YAL038W/YBR196C/YBR242W/YBR252W/YCR012W/YDL021W/YDR050C/YER005W/YGL101W/YGL253W/YGR240C/YGR254W/YHR174W/YHR202W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YNR001C/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,25
GO:0009185,ribonucleoside diphosphate metabolic process,20/1718,35/5857,0.5714285714285714,1.9481124230833193,3.6242834789950202,5.319620659315058e-4,0.02083518091565064,0.019305290011749885,YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YER005W/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,20
GO:0009135,purine nucleoside diphosphate metabolic process,19/1718,33/5857,0.5757575757575758,1.9628708505309205,3.5733760858879826,6.43675645380445e-4,0.02406469174206436,0.022297663505045077,YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,19
GO:0009179,purine ribonucleoside diphosphate metabolic process,19/1718,33/5857,0.5757575757575758,1.9628708505309205,3.5733760858879826,6.43675645380445e-4,0.02406469174206436,0.022297663505045077,YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W,19
GO:0009060,aerobic respiration,40/1718,87/5857,0.45977011494252873,1.5674467771934755,3.4352729848504184,6.848610755320413e-4,0.025035477094449067,0.02319716578644201,YBL030C/YBR010W/YBR238C/YCR005C/YDR031W/YDR148C/YDR529C/YEL039C/YER065C/YFR033C/YFR049W/YGL191W/YGL226W/YIR031C/YJL045W/YJL116C/YJL166W/YJR121W/YKL055C/YKL085W/YKL148C/YKR046C/YLR164W/YLR174W/YMR002W/YMR030W/YMR081C/YMR256C/YNL037C/YNL117W/YNL169C/YNR001C/YOL126C/YOR002W/YOR065W/YOR136W/YOR355W/YPL262W/YPL271W/YPR191W,40
GO:0006811,monoatomic ion transport,85/1718,215/5857,0.3953488372093023,1.3478219671332268,3.3475270616560433,7.015590410397603e-4,0.02508836135892186,0.023246166851843775,YAL048C/YBL030C/YBL099W/YBR127C/YBR235W/YBR290W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCR023C/YDL138W/YDL183C/YDL206W/YDR107C/YDR270W/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR506C/YDR529C/YDR536W/YEL027W/YEL065W/YEL069C/YER053C/YER113C/YFL050C/YFR033C/YGL008C/YGL191W/YGR191W/YGR217W/YHL008C/YHL040C/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL121W/YJL166W/YJR106W/YJR121W/YKL016C/YKL217W/YLL009C/YLL051C/YLR092W/YLR214W/YLR295C/YLR443W/YLR447C/YML081C-A/YMR034C/YMR058W/YMR256C/YMR319C/YNL055C/YNL259C/YNL305C/YNL318C/YNR055C/YNR072W/YOL027C/YOL077W-A/YOL130W/YOL152W/YOL158C/YOR065W/YOR079C/YOR381W/YOR382W/YOR383C/YOR384W/YOR390W/YPL036W/YPL078C/YPL271W/YPR020W/YPR124W/YPR128C/YPR191W/YPR201W,85
GO:0000097,sulfur amino acid biosynthetic process,20/1718,36/5857,0.5555555555555556,1.893998189108783,3.466198982189668,8.700185677660662e-4,0.02981626133281623,0.027626905397483862,YAL012W/YER052C/YFR055W/YGL184C/YGR204W/YIR017C/YJR024C/YJR137C/YJR148W/YKL001C/YKR069W/YLL058W/YLL062C/YLR303W/YMR009W/YNL103W/YNL277W/YPL273W/YPR118W/YPR167C,20
GO:0170041,non-proteinogenic amino acid metabolic process,20/1718,36/5857,0.5555555555555556,1.893998189108783,3.466198982189668,8.700185677660662e-4,0.02981626133281623,0.027626905397483862,YAL012W/YER043C/YFR055W/YGL184C/YGL196W/YIR023W/YJL060W/YJL088W/YJR078W/YLL058W/YLR231C/YLR303W/YLR438W/YMR169C/YMR170C/YNL239W/YOL058W/YOL140W/YPL111W/YPL273W,20
GO:0000096,sulfur amino acid metabolic process,24/1718,46/5857,0.5217391304347826,1.7787113428152046,3.415815299624783,9.208725234435964e-4,0.030915006144177876,0.02864497129852476,YAL012W/YDR253C/YER052C/YFR055W/YGL184C/YGR204W/YHR205W/YIR017C/YJR010W/YJR024C/YJR137C/YJR148W/YKL001C/YKR069W/YLL058W/YLL062C/YLR303W/YMR009W/YNL103W/YNL239W/YNL277W/YPL273W/YPR118W/YPR167C,24
GO:0016051,carbohydrate biosynthetic process,41/1718,91/5857,0.45054945054945056,1.5360117182003097,3.3198775228538864,9.759444275883305e-4,0.031842198532023476,0.02950408157054551,YBR196C/YBR218C/YCR012W/YDL049C/YDR050C/YDR420W/YDR511W/YEL011W/YEL012W/YER054C/YFR015C/YFR017C/YFR042W/YGL062W/YGL134W/YGR143W/YGR229C/YHR101C/YIL050W/YIL053W/YJL034W/YJL052W/YJL089W/YJL137C/YJR009C/YKL060C/YKL152C/YKR058W/YKR097W/YLR258W/YLR377C/YML028W/YMR105C/YMR280C/YMR311C/YOL030W/YOL126C/YOL132W/YOR178C/YPL201C/YPR184W,41
GO:0006865,amino acid transport,29/1718,59/5857,0.4915254237288136,1.6757068723979403,3.36054439353849,9.955814285687319e-4,0.031842198532023476,0.02950408157054551,YBR043C/YBR069C/YCL025C/YCL038C/YCR075C/YDL210W/YDR119W/YDR352W/YEL062W/YEL063C/YEL064C/YFL055W/YGL077C/YGR125W/YGR142W/YGR191W/YHL036W/YIL088C/YIL121W/YKL176C/YKR039W/YKR105C/YMR088C/YNL065W/YNL101W/YOR348C/YPL265W/YPL274W/YPR058W,29
GO:0098660,inorganic ion transmembrane transport,72/1718,179/5857,0.4022346368715084,1.3712970128966384,3.2502343609542095,0.0010065618988846327,0.031842198532023476,0.02950408157054551,YBL099W/YBR127C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCR023C/YCR037C/YDL138W/YDL183C/YDR270W/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR529C/YDR536W/YEL027W/YEL065W/YEL069C/YER053C/YFL050C/YFR033C/YGL008C/YGL191W/YGL254W/YGR121C/YGR217W/YHL008C/YHL040C/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL121W/YIL166C/YJL166W/YJR121W/YKL016C/YKL120W/YKL217W/YLR092W/YLR295C/YLR447C/YML081C-A/YML116W/YMR058W/YMR256C/YMR279C/YMR319C/YNL142W/YNL305C/YNL318C/YNR072W/YOL027C/YOL077W-A/YOL130W/YOL158C/YOR065W/YOR079C/YOR390W/YPL036W/YPL078C/YPL092W/YPL271W/YPR020W/YPR124W/YPR128C/YPR191W/YPR201W,72
GO:0006163,purine nucleotide metabolic process,57/1718,136/5857,0.41911764705882354,1.4288545161953023,3.2599269537252638,0.0010481035687910755,0.032530761710590925,0.03014208475887741,YAL038W/YBL099W/YBR117C/YBR127C/YBR196C/YBR252W/YCL047C/YCR012W/YDL021W/YDL085W/YDR050C/YDR322C-A/YGL253W/YGR010W/YGR043C/YGR204W/YGR240C/YGR254W/YGR256W/YHL011C/YHR074W/YHR174W/YHR183W/YHR202W/YIL155C/YJL052W/YJL116C/YJR009C/YJR078W/YJR105W/YJR121W/YKL016C/YKL060C/YKL152C/YKL181W/YLR174W/YLR231C/YLR295C/YLR446W/YML081C-A/YMR145C/YMR303C/YNL129W/YNL241C/YOL056W/YOL061W/YOL077W-A/YOL086C/YOL136C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W/YPL078C/YPL271W/YPR020W,57
GO:0072524,pyridine-containing compound metabolic process,44/1718,100/5857,0.44,1.500046565774156,3.249202171544021,0.0011831958743128903,0.03604365209712416,0.033397029746687436,YAL038W/YBR117C/YBR196C/YCL047C/YCR012W/YDL021W/YDL085W/YDR050C/YEL029C/YGL037C/YGL253W/YGR010W/YGR043C/YGR240C/YGR254W/YGR256W/YHR074W/YHR174W/YHR183W/YHR202W/YIL155C/YJL052W/YJR009C/YJR078W/YKL060C/YKL152C/YLR174W/YLR231C/YLR446W/YMR145C/YMR303C/YNL129W/YNL200C/YNL241C/YOL056W/YOL086C/YOL136C/YOR047C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W/YPR127W,44
GO:0006812,monoatomic cation transport,77/1718,195/5857,0.39487179487179486,1.3461956359511655,3.1675126844697594,0.0012816731965738977,0.0371948627598421,0.03446370902335713,YAL048C/YBL030C/YBL099W/YBR127C/YBR235W/YBR290W/YBR295W/YBR296C/YBR298C/YCL005W-A/YDL138W/YDL183C/YDL206W/YDR270W/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR506C/YDR529C/YDR536W/YEL027W/YEL065W/YEL069C/YER053C/YFL050C/YFR033C/YGL008C/YGL191W/YGR191W/YGR217W/YHL040C/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL121W/YJL166W/YJR106W/YJR121W/YKL016C/YKL217W/YLL009C/YLL051C/YLR214W/YLR295C/YLR443W/YLR447C/YML081C-A/YMR034C/YMR058W/YMR256C/YMR319C/YNL259C/YNL305C/YNL318C/YNR055C/YNR072W/YOL027C/YOL077W-A/YOL130W/YOL152W/YOL158C/YOR065W/YOR079C/YOR381W/YOR382W/YOR383C/YOR384W/YPL036W/YPL078C/YPL271W/YPR020W/YPR124W/YPR128C/YPR191W,77
GO:0009086,methionine biosynthetic process,18/1718,32/5857,0.5625,1.9176731664726425,3.353354425314926,0.001294363402122917,0.0371948627598421,0.03446370902335713,YER052C/YFR055W/YGL184C/YGR204W/YIR017C/YJR024C/YJR148W/YKL001C/YKR069W/YLL058W/YLL062C/YLR303W/YMR009W/YNL103W/YNL277W/YPL273W/YPR118W/YPR167C,18
GO:0016052,carbohydrate catabolic process,42/1718,95/5857,0.4421052631578947,1.507223822069726,3.2109919626522205,0.0013522361738567323,0.0371948627598421,0.03446370902335713,YAL038W/YBR196C/YBR299W/YCR012W/YDL021W/YDR050C/YFL053W/YFR017C/YFR021W/YGL156W/YGL253W/YGR240C/YGR254W/YGR287C/YGR292W/YHL032C/YHR174W/YIL050W/YIL123W/YIL155C/YIL162W/YIL172C/YJL052W/YJL216C/YJR009C/YJR159W/YKL060C/YKL152C/YLR300W/YLR446W/YML070W/YMR105C/YNL242W/YNR067C/YNR071C/YOL056W/YOL136C/YOR190W/YOR344C/YOR347C/YPL075W/YPR184W,42
GO:0006067,ethanol metabolic process,10/1718,14/5857,0.7142857142857143,2.4351405288541494,3.463417958276693,0.0013566515292343622,0.0371948627598421,0.03446370902335713,YDL085W/YER073W/YGR087C/YLR044C/YLR134W/YMR145C/YMR303C/YOL086C/YOR374W/YPL061W,10
GO:0015846,polyamine transport,10/1718,14/5857,0.7142857142857143,2.4351405288541494,3.463417958276693,0.0013566515292343622,0.0371948627598421,0.03446370902335713,YBR043C/YDL210W/YGR138C/YHL016C/YJR059W/YKR039W/YNR055C/YOR273C/YPL274W/YPR156C,10
GO:0046164,alcohol catabolic process,10/1718,14/5857,0.7142857142857143,2.4351405288541494,3.463417958276693,0.0013566515292343622,0.0371948627598421,0.03446370902335713,YDR050C/YER073W/YFL053W/YHL032C/YHR046C/YIL155C/YJR159W/YML070W/YOL055C/YPL061W,10
GO:0045333,cellular respiration,44/1718,101/5857,0.43564356435643564,1.4851946195783723,3.1686966964462706,0.0015121796133765856,0.04077926990171284,0.037784919416208734,YBL030C/YBR010W/YBR238C/YCR005C/YDR031W/YDR148C/YDR529C/YEL039C/YER065C/YFL018C/YFR033C/YFR049W/YGL191W/YGL226W/YIR031C/YJL045W/YJL116C/YJL166W/YJR120W/YJR121W/YKL055C/YKL085W/YKL148C/YKR046C/YLR154W-C/YLR164W/YLR174W/YMR002W/YMR030W/YMR081C/YMR256C/YNL037C/YNL117W/YNL169C/YNR001C/YNR074C/YOL126C/YOR002W/YOR065W/YOR136W/YOR355W/YPL262W/YPL271W/YPR191W,44
GO:1902600,proton transmembrane transport,40/1718,90/5857,0.4444444444444444,1.515198551287026,3.1731113515219462,0.0015428974932897078,0.04093655445905757,0.03793065484352287,YBL099W/YBR127C/YBR298C/YCL005W-A/YDL138W/YDL183C/YDR322C-A/YDR342C/YDR343C/YDR345C/YDR529C/YDR536W/YEL027W/YEL069C/YFR033C/YGL008C/YGL191W/YHR039C-A/YHR092C/YHR094C/YHR096C/YJL166W/YJR121W/YKL016C/YKL217W/YLR295C/YLR447C/YML081C-A/YMR256C/YNL318C/YNR072W/YOL027C/YOL077W-A/YOR065W/YPL036W/YPL078C/YPL271W/YPR020W/YPR128C/YPR191W,40
GO:0015718,monocarboxylic acid transport,17/1718,30/5857,0.5666666666666667,1.9318781528909585,3.29656504329563,0.0015769756395125748,0.04117658614282834,0.03815306142045461,YCR028C/YGL080W/YGR243W/YHR162W/YIL006W/YJL078C/YJL079C/YJL193W/YJR152W/YKL120W/YKL217W/YKR013W/YMR034C/YMR246W/YNL065W/YOL147C/YOR049C,17
GO:0072330,monocarboxylic acid biosynthetic process,28/1718,58/5857,0.4827586206896552,1.6458191160531495,3.1842909228025267,0.0017154501877660643,0.04409243060742462,0.040854800524428636,YBR112C/YDL015C/YEL071W/YER061C/YER073W/YGL055W/YHR063C/YHR067W/YIR033W/YJL060W/YJL097W/YJL196C/YKL055C/YKL182W/YLL027W/YLR380W/YMR169C/YMR170C/YMR207C/YMR272C/YMR322C/YNR016C/YOR374W/YOR391C/YPL061W/YPL095C/YPL231W/YPL280W,28
